fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-12 21:36:41,regresion,bitcount,93.699,1.169015,1.171710,0.2305,38.87,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 21:37:07,regresion,bsearch,12.111,1.164329,1.167641,0.2845,38.75,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 21:42:28,regresion,conv,306.634,1.161519,1.165837,0.3718,38.87,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 21:43:31,regresion,divsum,49.510,1.150500,1.151866,0.1187,38.50,12096019,0,0,15960000,467040000,4,3990001,0,495096022
2026-07-12 21:43:58,regresion,fixmul,11.745,1.161054,1.166345,0.4557,39.00,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 21:44:15,regresion,floyd,4.795,1.162354,1.167504,0.4431,38.50,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-12 21:44:42,regresion,fpalu,11.794,1.166445,1.166478,0.0028,38.63,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-12 21:45:12,regresion,fpctrl,15.378,1.164655,1.167677,0.2595,38.75,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-12 21:45:38,regresion,fpgain,12.306,1.165965,1.163656,-0.1980,38.87,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-12 21:46:04,regresion,fpmem,12.315,1.163299,1.166831,0.3036,38.75,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-12 21:46:31,regresion,logistic,13.330,1.164185,1.167493,0.2841,38.87,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-12 21:47:18,regresion,md5,32.088,1.165381,1.167658,0.1954,38.87,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-12 21:48:33,regresion,mixed,61.600,1.161861,1.163072,0.1042,38.87,104000013,51200000,0,0,0,102400004,51200001,0,616000016
2026-07-12 21:48:52,regresion,primes,5.451,1.153944,1.154913,0.0840,38.63,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-12 21:49:12,regresion,sha256,5.292,1.165889,1.167199,0.1124,38.75,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 21:49:50,regresion,wmul,24.930,1.157595,1.167427,0.8493,38.63,29700017,0,43200000,0,0,4,900001,0,249300020
2026-07-12 21:50:13,regresion,ycbcr,10.258,1.163046,1.164075,0.0884,38.75,20660014,0,0,0,0,20480004,5120001,10240000,102580021
